Afrikaans,af,warm patat,koue spaghetti,fyngedrukte piesang
Irish,ga,prátaí te,spaghetti fuar,banana mashed
Albanian,sq,patate e nxehtë,spageti ftohtë,banane pure
Italian,it,patata bollente,gli spaghetti freddi,banana schiacciata
Arabic,ar,البطاطا الساخنة,السباغيتي الباردة,الموز المهروس
Japanese,ja,焼き芋,冷たいスパゲッティ,マッシュポテトバナナ
Azerbaijani,az,isti kartof,soyuq spagetti,püresi banan
Kannada,kn,ಕ್ಲಿಷ್ಟವಾದ,ಶೀತ ಸ್ಪಾಗೆಟ್ಟಿ,ಹಿಸುಕಿದ ಬಾಳೆ
Basque,eu,beroa patata,spaghetti hotza,purea banana
Korean,ko,뜨거운 감자,차가운 스파게티,으깬 바나나
Bengali,bn,গরম আলু,ঠান্ডা স্প্যাঘেটি,ভর্তা কলা
Latin,la,calidum Capsicum annuum,frigus Spaghetti,Musa sapientum fixa est mashed
Belarusian,be,далікатная тэма,халодны спагецці,пюрэ банан
Latvian,lv,karsts kartupelis,aukstā spageti,biezeni banānu
Bulgarian,bg,неприятна работа,студени спагети,пюре банан
Lithuanian,lt,keblus dalykas,šalto spagečiai,koše bananų
Catalan,ca,patata calenta,espagueti fred,puré de plàtan
Macedonian,mk,топла компир,ладно шпагети,пире од банана
Chinese Simplified,zh-CN,热土豆,冷面条,香蕉泥
Malay,ms,kentang panas,spageti sejuk,pisang lecek
Chinese Traditional,zh-TW,熱土豆,冷麵條,香蕉泥
Maltese,mt,patata sħun,spagetti kiesaħ,banana mgħaffġa
Croatian,hr,vrući krumpir,hladne špagete,pire od banana
Norwegian,no,varm potet,kaldt spaghetti,most banan
Czech,cs,horká brambora,studené špagety,rozmačkaný banán
Persian,fa,سیب زمینی داغ,اسپاگتی سرد,موز له شده
Danish,da,varm kartoffel,kolde spaghetti,mosede banan
Polish,pl,gorący ziemniak,zimne spaghetti,puree banana
Dutch,nl,hete aardappel,koude spaghetti,geprakte banaan
Portuguese,pt,batata quente,spaghetti frios,banana amassada
English,en,hot potato,cold spaghetti,mashed banana
Romanian,ro,cartof fierbinte,spaghete rece,piure de banane
Esperanto,eo,varmega terpomo,malvarma spagetoj,pistita banano
Russian,ru,горячая картошка,холодный спагетти,пюре банан
Estonian,et,kuum kartul,külma spagetid,hõõrutud banaan
Serbian,sr,врућ кромпир,цолд шпагети,пире банане
Filipino,tl,mainit na patatas,malamig na spaghetti,mashed banana
Slovak,sk,horúci zemiak,studené špagety,roztlačený banán
Finnish,fi,kuuma peruna,kylmä spagetti,mashed banaani
Slovenian,sl,vroč krompir,hladno špageti,pire banana
French,fr,patate chaude,spaghettis froids,purée de banane
Spanish,es,patata caliente,espagueti frío,puré de plátano
Galician,gl,pataca quente,spaghetti fríos,banana amasada
Swahili,sw,viazi moto,tambi baridi,mashed ndizi
Georgian,ka,ცხელი კარტოფილის,ცივი სპაგეტი,mashed ბანანის
Swedish,sv,het potatis,kalla spagetti,mosad banan
German,de,heiße Kartoffel,kalte Spaghetti,zerdrückte Banane
Tamil,ta,சூடான உருளைக்கிழங்கு,குளிர் பழங்கால,பிசைந்து வாழை
Greek,el,καυτή πατάτα,κρύα μακαρόνια,λιωμένη μπανάνα
Telugu,te,వేడి బంగాళాదుంప,చల్లని స్పఘెట్టి,గుజ్జు అరటి
Gujarati,gu,ગરમ બટાટા,ઠંડા સ્પાઘેટ્ટી,છૂંદેલા કેળા
Thai,th,มันฝรั่งร้อน,ปาเก็ตตี้เย็น,กล้วยบด
Haitian Creole,ht,pòmdetè cho,espageti frèt,kraze bannann
Turkish,tr,sıcak patates,soğuk spagetti,püresi muz
Hebrew,iw,תפוח האדמה הלוהט,ספגטי קר,בננה מחית
Ukrainian,uk,делікатна тема,холодний спагетті,пюре банан
Hindi,hi,गर्म आलू,ठंड स्पेगेटी,मैश्ड केले
Urdu,ur,گرم آلو,سردی سپتیٹی,میشڈ کیلا
Hungarian,hu,forró krumpli,hideg spagetti,tört banán
Vietnamese,vi,khoai tây nóng,Spaghetti lạnh,chuối nghiền
Icelandic,is,heitu kartöflu,kalt spaghettí,maukuðum banani
Welsh,cy,tatws poeth,sbageti oer,banana stwnsh
Indonesian,id,kentang panas,spaghetti dingin,tumbuk pisang
Yiddish,yi,הייס קאַרטאָפל,קאַלט ספּאַגעטי,מאַשט באַנאַנע
